Reading #,Wind Spd
164,3.633549336
165,3.02795778
166,3.633549336
167,2.422366224
168,1.51397889
169,2.725162002
170,0.9083873341
171,1.211183112
172,1.211183112
173,1.51397889
174,3.633549336
175,2.119570446
176,2.725162002
177,2.119570446
178,3.02795778
179,3.936345114
180,4.541936671
181,5.147528227
182,4.239140892
183,5.753119783
184,5.147528227
185,5.147528227
186,6.661507117
187,7.569894451
188,8.781077563
189,10.90064801
190,11.80903534
191,6.055915561
192,4.844732449
193,3.02795778
194,4.844732449
195,4.239140892
196,7.872690229
197,8.781077563
198,6.661507117
199,7.569894451
200,9.083873341
201,10.29505645
202,10.90064801
203,10.59785223
204,7.569894451
205,9.689464897
206,9.083873341
207,9.083873341
208,8.478281785
209,8.478281785
210,9.689464897
211,10.59785223
212,9.689464897
213,9.386669119
214,8.175486007
215,8.478281785
216,8.781077563
217,7.872690229
218,9.083873341
219,8.478281785
220,7.872690229
221,7.872690229
222,7.569894451
223,8.478281785
224,9.083873341
225,9.386669119
226,10.59785223
227,9.689464897
228,12.4146269
229,12.4146269
230,10.90064801
231,11.20344379
232,11.20344379
233,11.80903534
234,11.20344379
235,11.80903534
236,10.59785223
237,9.083873341
238,6.964302895
239,6.661507117
240,6.661507117
241,7.267098673
242,6.964302895
243,6.358711339
244,6.661507117
245,7.872690229
246,8.781077563
247,7.872690229
248,8.478281785
249,9.689464897
250,9.083873341
251,9.386669119
252,6.661507117
253,3.330753558
254,4.239140892
255,4.239140892
256,5.753119783
257,5.147528227
258,5.147528227
259,4.541936671
260,3.02795778
261,1.51397889
262,6.661507117
263,9.083873341
264,9.386669119
265,9.992260675
266,8.478281785
267,3.633549336
268,7.569894451
269,6.661507117
270,3.633549336
271,3.633549336
272,4.844732449
273,4.239140892
274,6.055915561
275,6.055915561
276,7.267098673
277,7.267098673
278,9.083873341
279,11.80903534
280,11.20344379
281,8.781077563
282,12.4146269
283,9.083873341
284,13.02021846
285,10.29505645
286,7.569894451
287,6.661507117
288,6.964302895
289,8.478281785
290,10.90064801
291,13.92860579
292,12.4146269
293,12.71742268
294,13.62581001
295,11.80903534
296,11.50623957
297,10.59785223
298,10.59785223
299,13.62581001
300,13.32301423
301,11.20344379
302,11.20344379
303,8.781077563
304,8.175486007
305,9.083873341
306,9.386669119
307,9.386669119
308,7.872690229
309,7.569894451
310,9.083873341
311,10.59785223
312,9.083873341
313,9.689464897
314,8.175486007
315,11.20344379
316,7.872690229
317,5.753119783
318,7.872690229
319,5.753119783
320,6.358711339
321,6.964302895
322,6.661507117
323,6.358711339
324,6.358711339
325,5.450324005
326,3.02795778
327,4.239140892
328,6.358711339
329,6.358711339
330,5.147528227
331,3.936345114
332,1.211183112
333,1.211183112
334,2.725162002
335,2.422366224
336,1.211183112
337,0.9083873341
